id;region;year;type;conversion_factor_sec_elec;conversion_factor_sec_diesel;conversion_factor_sec_hydrogen;conversion_factor_exo_rail_long_pkm;conversion_factor_exo_rail_short_pkm;capacity_tra_inst_0;optional_limitations;cost_fix_tra;cost_var_tra;lifetime;mileage;occupancy_rate;wacc;ef_sec_diesel_emi_co2_f_tra;ef_sec_ethanol_emi_co2_f_tra;ef_sec_diesel_emi_ch4_f_tra;ef_sec_diesel_emi_n2o_f_tra;bandwidth_type;version;method;source;comment
69;DE;2060;tra_rail_oev_pass_short_0;1;;;;2,27;0;;0;;30;69500;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
70;DE;2070;tra_rail_oev_pass_short_0;1;;;;2,27;0;;0;;30;69500;67;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
71;DE;2021;tra_rail_ice_pass_short_diesel_0;;1;;;1,46;2400;;0;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
72;DE;2024;tra_rail_ice_pass_short_diesel_0;;1;;;1,46;2160;;0;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
73;DE;2027;tra_rail_ice_pass_short_diesel_0;;1;;;1,46;1920;;0;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
74;DE;2030;tra_rail_ice_pass_short_diesel_0;;1;;;1,46;1680;;0;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
75;DE;2035;tra_rail_ice_pass_short_diesel_0;;1;;;1,46;1280;;0;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
76;DE;2040;tra_rail_ice_pass_short_diesel_0;;1;;;1,46;880;;0;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
77;DE;2045;tra_rail_ice_pass_short_diesel_0;;1;;;1,46;480;;0;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
78;DE;2050;tra_rail_ice_pass_short_diesel_0;;1;;;1,46;80;;0;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
79;DE;2060;tra_rail_ice_pass_short_diesel_0;;1;;;1,46;0;;0;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
80;DE;2070;tra_rail_ice_pass_short_diesel_0;;1;;;1,46;0;;0;;30;65055;67;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
